,Unnamed: 0,Ticker,Entry Time,Entry Price,Exit Time,Exit Price,P/L,ROR,Cumulative ROR,Peak ROR,Drawdown
25,26,BANKNIFTY30JUL2022200CE,27-07-2020 09:29,359.85,27-07-2020 15:24,204.7,-155.15000000000003,-86230.37376684732,-215281.29283625836,99633.83720797766,-314915.130044236
26,27,BANKNIFTY30JUL2022200PE,27-07-2020 09:29,360.05,27-07-2020 15:24,550.65,190.59999999999997,105874.1841410915,-109407.10869516687,99633.83720797766,-209040.94590314454
27,28,BANKNIFTY30JUL2022100CE,28-07-2020 09:29,299.75,28-07-2020 10:16,142.4,-157.35,-104987.48957464554,-214394.5982698124,99633.83720797766,-314028.4354777901
28,29,BANKNIFTY30JUL2022100PE,28-07-2020 09:29,348.45,28-07-2020 10:16,581.8,233.34999999999997,133936.00229588174,-80458.59597393067,99633.83720797766,-180092.43318190833
29,30,BANKNIFTY30JUL2022300CE,29-07-2020 09:29,240.8,29-07-2020 13:25,214.35,-26.450000000000017,-21968.43853820599,-102427.03451213666,99633.83720797766,-202060.87172011432
30,31,BANKNIFTY30JUL2022300PE,29-07-2020 09:29,233.0,29-07-2020 13:25,207.3,-25.69999999999999,-22060.085836909864,-124487.12034904651,99633.83720797766,-224120.95755702417
31,32,BANKNIFTY30JUL2022200CE,30-07-2020 09:29,125.0,30-07-2020 10:33,118.1,-6.900000000000006,-11040.00000000001,-135527.1203490465,99633.83720797766,-235160.95755702417
32,33,BANKNIFTY30JUL2022200PE,30-07-2020 09:29,132.2,30-07-2020 10:33,110.7,-21.499999999999986,-32526.475037821463,-168053.59538686796,99633.83720797766,-267687.43259484565
33,34,BANKNIFTY06AUG2021600CE,31-07-2020 09:29,445.0,31-07-2020 15:03,434.25,-10.75,-4831.460674157303,-172885.05606102527,99633.83720797766,-272518.8932690029
34,35,BANKNIFTY06AUG2021600PE,31-07-2020 09:29,422.4,31-07-2020 15:03,345.7,-76.69999999999999,-36316.28787878787,-209201.34393981314,99633.83720797766,-308835.1811477908
35,36,BANKNIFTY06AUG2021400CE,03-08-2020 09:29,337.0,03-08-2020 15:24,236.95,-100.05000000000001,-59376.854599406535,-268578.1985392197,99633.83720797766,-368212.03574719734
36,37,BANKNIFTY06AUG2021400PE,03-08-2020 09:29,380.35,03-08-2020 15:24,463.15,82.79999999999995,43538.8457999211,-225039.35273929857,99633.83720797766,-324673.18994727626
37,38,BANKNIFTY06AUG2021200CE,04-08-2020 09:29,297.4,04-08-2020 15:24,456.0,158.60000000000002,106657.70006724953,-118381.65267204904,99633.83720797766,-218015.4898800267
38,39,BANKNIFTY06AUG2021200PE,04-08-2020 09:29,326.15,04-08-2020 15:24,127.9,-198.24999999999997,-121569.82983289896,-239951.48250494798,99633.83720797766,-339585.31971292564
39,40,BANKNIFTY06AUG2021800CE,05-08-2020 09:29,191.45,05-08-2020 09:53,323.7,132.25,138156.1765474014,-101795.30595754657,99633.83720797766,-201429.14316552423
40,41,BANKNIFTY06AUG2021800PE,05-08-2020 09:29,244.5,05-08-2020 09:53,165.35,-79.15,-64744.37627811861,-166539.68223566518,99633.83720797766,-266173.5194436428
41,42,BANKNIFTY06AUG2021600CE,06-08-2020 09:29,178.15,06-08-2020 11:47,144.6,-33.55000000000001,-37664.88913836656,-204204.57137403174,99633.83720797766,-303838.4085820094
42,43,BANKNIFTY06AUG2021600PE,06-08-2020 09:29,186.7,06-08-2020 11:47,257.05,70.35000000000002,75361.54258168188,-128843.02879234987,99633.83720797766,-228476.8660003275
43,44,BANKNIFTY13AUG2021500CE,07-08-2020 09:29,369.25,07-08-2020 15:24,481.05,111.80000000000001,60555.17941773867,-68287.84937461119,99633.83720797766,-167921.68658258885
44,45,BANKNIFTY13AUG2021500PE,07-08-2020 09:29,397.4,07-08-2020 15:24,224.65,-172.74999999999997,-86940.1107196779,-155227.9600942891,99633.83720797766,-254861.79730226676
45,46,BANKNIFTY13AUG2022000CE,10-08-2020 09:29,325.95,10-08-2020 15:24,287.5,-38.44999999999999,-23592.575548396988,-178820.5356426861,99633.83720797766,-278454.3728506637
46,47,BANKNIFTY13AUG2022000PE,10-08-2020 09:29,309.95,10-08-2020 15:24,317.35,7.400000000000034,4774.9637038232195,-174045.57193886288,99633.83720797766,-273679.40914684057
47,48,BANKNIFTY13AUG2022200CE,11-08-2020 09:29,268.0,11-08-2020 13:57,209.9,-58.099999999999994,-43358.208955223876,-217403.78089408675,99633.83720797766,-317037.6181020644
48,49,BANKNIFTY13AUG2022200PE,11-08-2020 09:29,247.95,11-08-2020 13:57,252.0,4.050000000000011,3266.7876588021873,-214136.99323528458,99633.83720797766,-313770.83044326224
49,50,BANKNIFTY13AUG2022100CE,12-08-2020 09:29,189.1,12-08-2020 12:55,335.4,146.29999999999998,154732.94553146482,-59404.04770381976,99633.83720797766,-159037.88491179742
50,51,BANKNIFTY13AUG2022100PE,12-08-2020 09:29,196.4,12-08-2020 12:55,88.9,-107.5,-109470.46843177188,-168874.51613559164,99633.83720797766,-268508.3533435693
51,52,BANKNIFTY13AUG2022400CE,13-08-2020 09:29,106.6,13-08-2020 10:34,98.45,-8.149999999999991,-15290.806754221372,-184165.32288981302,99633.83720797766,-283799.16009779065
52,53,BANKNIFTY13AUG2022400PE,13-08-2020 09:29,112.6,13-08-2020 10:34,98.4,-14.199999999999989,-25222.024866785057,-209387.3477565981,99633.83720797766,-309021.18496457575
53,54,BANKNIFTY20AUG2022200CE,14-08-2020 09:29,334.0,14-08-2020 13:47,202.3,-131.7,-78862.2754491018,-288249.6232056999,99633.83720797766,-387883.46041367756
54,55,BANKNIFTY20AUG2022200PE,14-08-2020 09:29,285.65,14-08-2020 13:47,498.85,213.20000000000005,149273.58655697535,-138976.03664872455,99633.83720797766,-238609.8738567022
55,56,BANKNIFTY20AUG2021800CE,17-08-2020 09:29,259.7,17-08-2020 09:40,230.2,-29.5,-22718.52137081248,-161694.558019537,99633.83720797766,-261328.39522751467
56,57,BANKNIFTY20AUG2021800PE,17-08-2020 09:29,311.0,17-08-2020 09:40,458.0,147.0,94533.76205787782,-67160.7959616592,99633.83720797766,-166794.63316963686
57,58,BANKNIFTY20AUG2021800CE,18-08-2020 09:29,235.65,18-08-2020 14:48,457.0,221.35,187863.35667303202,120702.56071137282,120702.56071137282,0.0
58,59,BANKNIFTY20AUG2021800PE,18-08-2020 09:29,262.05,18-08-2020 14:48,94.85,-167.20000000000002,-127609.23487883992,-6906.674167467107,120702.56071137282,-127609.23487883992
59,60,BANKNIFTY20AUG2022400CE,19-08-2020 09:29,158.65,19-08-2020 14:21,148.3,-10.349999999999994,-13047.589032461385,-19954.263199928493,120702.56071137282,-140656.82391130133
60,61,BANKNIFTY20AUG2022400PE,19-08-2020 09:29,201.75,19-08-2020 14:21,176.0,-25.75,-25526.64188351921,-45480.9050834477,120702.56071137282,-166183.4657948205
61,62,BANKNIFTY20AUG2022000CE,20-08-2020 09:29,97.85,20-08-2020 10:36,108.75,10.900000000000006,22278.9984670414,-23201.9066164063,120702.56071137282,-143904.46732777913
62,63,BANKNIFTY20AUG2022000PE,20-08-2020 09:29,113.05,20-08-2020 10:36,79.7,-33.349999999999994,-59000.44228217602,-82202.34889858232,120702.56071137282,-202904.90960995515
63,64,BANKNIFTY27AUG2022200CE,21-08-2020 09:29,320.25,21-08-2020 15:24,331.1,10.850000000000023,6775.9562841530205,-75426.3926144293,120702.56071137282,-196128.9533258021
64,65,BANKNIFTY27AUG2022200PE,21-08-2020 09:29,282.15,21-08-2020 15:24,232.4,-49.74999999999997,-35264.93000177209,-110691.32261620139,120702.56071137282,-231393.8833275742
65,66,BANKNIFTY27AUG2022600CE,24-08-2020 09:29,227.7,24-08-2020 11:55,346.75,119.05000000000001,104567.41326306545,-6123.909353135939,120702.56071137282,-126826.47006450876
66,67,BANKNIFTY27AUG2022600PE,24-08-2020 09:29,254.0,24-08-2020 11:55,200.7,-53.30000000000001,-41968.50393700788,-48092.41329014382,120702.56071137282,-168794.97400151665
67,68,BANKNIFTY27AUG2023100CE,25-08-2020 09:29,214.2,25-08-2020 13:17,186.35,-27.849999999999994,-26003.734827264234,-74096.14811740805,120702.56071137282,-194798.70882878086
68,69,BANKNIFTY27AUG2023100PE,25-08-2020 09:29,243.2,25-08-2020 13:17,218.85,-24.349999999999994,-20024.671052631576,-94120.81917003963,120702.56071137282,-214823.37988141243
69,70,BANKNIFTY27AUG2023200CE,26-08-2020 09:29,197.9,26-08-2020 13:02,178.85,-19.05000000000001,-19252.147549267316,-113372.96671930695,120702.56071137282,-234075.52743067977
70,71,BANKNIFTY27AUG2023200PE,26-08-2020 09:29,186.0,26-08-2020 13:02,165.25,-20.75,-22311.827956989247,-135684.79467629618,120702.56071137282,-256387.355387669
71,72,BANKNIFTY27AUG2023600CE,27-08-2020 09:29,117.3,27-08-2020 10:02,95.55,-21.75,-37084.3989769821,-172769.1936532783,120702.56071137282,-293471.7543646511
72,73,BANKNIFTY27AUG2023600PE,27-08-2020 09:29,88.85,27-08-2020 10:02,89.4,0.5500000000000114,1238.041643218934,-171531.15201005936,120702.56071137282,-292233.7127214322
73,74,BANKNIFTY03SEP2023800CE,28-08-2020 09:29,333.35,28-08-2020 10:31,529.6,196.25,117744.11279436028,-53787.039215699086,120702.56071137282,-174489.5999270719
74,75,BANKNIFTY03SEP2023800PE,28-08-2020 09:29,310.05,28-08-2020 10:31,264.2,-45.85000000000002,-29575.87485889374,-83362.91407459283,120702.56071137282,-204065.47478596563
75,76,BANKNIFTY03SEP2024900CE,31-08-2020 09:29,421.55,31-08-2020 10:27,275.8,-145.75,-69149.56707389395,-152512.48114848678,120702.56071137282,-273215.0418598596
76,77,BANKNIFTY03SEP2024900PE,31-08-2020 09:29,458.2,31-08-2020 10:27,513.3,55.099999999999966,24050.632911392393,-128461.84823709438,120702.56071137282,-249164.4089484672
77,78,BANKNIFTY03SEP2024100CE,01-09-2020 09:29,440.7,01-09-2020 09:57,288.5,-152.2,-69071.93101883367,-197533.77925592806,120702.56071137282,-318236.3399673009
78,79,BANKNIFTY03SEP2024100PE,01-09-2020 09:29,450.1,01-09-2020 09:57,703.8,253.69999999999993,112730.50433237055,-84803.27492355752,120702.56071137282,-205505.83563493035
79,80,BANKNIFTY03SEP2023700CE,02-09-2020 09:29,311.0,02-09-2020 10:46,238.0,-73.0,-46945.33762057878,-131748.6125441363,120702.56071137282,-252451.17325550911
80,81,BANKNIFTY03SEP2023700PE,02-09-2020 09:29,290.25,02-09-2020 10:46,302.25,12.0,8268.7338501292,-123479.8786940071,120702.56071137282,-244182.43940537993
81,82,BANKNIFTY03SEP2023900CE,03-09-2020 09:29,96.7,03-09-2020 11:22,52.75,-43.95,-90899.68976215099,-214379.5684561581,120702.56071137282,-335082.1291675309
82,83,BANKNIFTY03SEP2023900PE,03-09-2020 09:29,140.0,03-09-2020 11:22,157.2,17.19999999999999,24571.428571428554,-189808.13988472955,120702.56071137282,-310510.7005961024
83,84,BANKNIFTY10SEP2023000CE,04-09-2020 09:29,441.45,04-09-2020 12:28,514.0,72.55000000000001,32868.95458149281,-156939.18530323674,120702.56071137282,-277641.7460146096
84,85,BANKNIFTY10SEP2023000PE,04-09-2020 09:29,488.4,04-09-2020 12:28,318.0,-170.39999999999998,-69778.86977886976,-226718.0550821065,120702.56071137282,-347420.6157934793
